Date,ACF
2000-01-06,1.0
2000-01-07,0.9968957787611843
2000-01-10,0.9939759537128813
2000-01-11,0.9912858023536426
2000-01-12,0.9888425876499027
2000-01-13,0.9862983038452555
2000-01-14,0.9839278856283471
2000-01-17,0.9816511480765062
2000-01-18,0.97935081466371
2000-01-19,0.97699843405308
2000-01-20,0.9746750357369969
2000-01-21,0.9724354009036942
2000-01-24,0.9702798676207438
2000-01-25,0.9681441014309682
2000-01-26,0.9659943398218903
2000-01-27,0.9639643787183456
2000-01-28,0.9619280632767003
2000-01-31,0.9598487482968411
2000-02-01,0.9578455903432678
2000-02-02,0.9559958144959928
2000-02-03,0.9542609179271159
2000-02-04,0.95250526560566
2000-02-07,0.9508070691507496
2000-02-08,0.9489080016466942
2000-02-09,0.9470512610233872
2000-02-10,0.9453535533028149
2000-02-11,0.9436023429024895
2000-02-14,0.941715234412912
2000-02-15,0.9400920211408954
2000-02-16,0.9384223711145772
2000-02-17,0.9367615017482661
2000-02-18,0.9350885922903519
2000-02-21,0.9336037605562276
2000-02-22,0.9321637863900819
2000-02-23,0.9309123172497733
2000-02-24,0.9296198096252791
2000-02-25,0.9284211088001031
2000-02-28,0.9269701197238321
2000-02-29,0.9255169058475416
2000-03-01,0.9240555295297378
2000-03-02,0.9225306354339302
2000-03-03,0.9208013747737327
2000-03-06,0.9190147486868868
2000-03-07,0.9172006917681553
2000-03-08,0.9155211051552993
2000-03-09,0.9138668172020292
2000-03-10,0.9122699831492429
2000-03-13,0.9104835692784119
2000-03-14,0.9087726251340695
2000-03-15,0.9070592206765102
2000-03-16,0.9054227265439169
2000-03-17,0.9038748129762754
2000-03-20,0.9024764599022999
2000-03-21,0.901092779002622
2000-03-22,0.8995924858112965
2000-03-23,0.8981685906569663
2000-03-24,0.8967109683301241
2000-03-27,0.8949434106742089
2000-03-28,0.8933106469655946
2000-03-29,0.8916686283721408
2000-03-30,0.8900323497698837
2000-03-31,0.8884941540175307
2000-04-03,0.886787752576363
2000-04-04,0.8849554462266954
2000-04-05,0.8832664546496157
2000-04-06,0.8814570721667809
2000-04-07,0.8796826885811947
2000-04-10,0.8779365164217025
2000-04-11,0.8761883183875847
2000-04-12,0.8744527688480781
2000-04-13,0.8726377805407982
2000-04-14,0.8709877591063024
2000-04-17,0.8693611093807262
2000-04-18,0.8677202740128644
2000-04-19,0.8660681709608309
2000-04-20,0.8644211843862949
2000-04-25,0.8627318307262651
2000-04-26,0.8610167743307423
2000-04-27,0.8591848029050856
2000-04-28,0.8572452197818249
2000-05-02,0.8551675668846822
2000-05-03,0.8531458030438257
2000-05-04,0.8511045095826459
2000-05-05,0.8490691524365506
2000-05-08,0.8469721442851998
2000-05-09,0.8449066899649027
2000-05-10,0.8429169835353121
2000-05-11,0.8410078727571021
2000-05-12,0.8390126626903975
2000-05-15,0.837033067979027
2000-05-16,0.8352377381771308
2000-05-17,0.833326852237581
2000-05-18,0.8313935731997267
2000-05-19,0.8295368698345079
2000-05-22,0.8277339151266794
2000-05-23,0.8258807240118454
2000-05-24,0.823914624559965
2000-05-25,0.8221575102368626
2000-05-26,0.8203515371103202
2000-05-30,0.81843227527701
2000-05-31,0.8164047966938601
2000-06-01,0.8144137104048129
2000-06-02,0.8122728820941688
2000-06-05,0.8101403182364355
2000-06-06,0.8080857062207045
2000-06-07,0.8060381062094238
2000-06-08,0.8040238761625955
2000-06-09,0.8021174777932659
2000-06-12,0.8000052083362156
2000-06-13,0.7978168009131775
2000-06-14,0.795601133060008
2000-06-15,0.7933400885496001
2000-06-16,0.7911392011182911
2000-06-19,0.7888767258844898
2000-06-20,0.7866609012079048
2000-06-21,0.7844086427487899
2000-06-22,0.7822937821478657
2000-06-23,0.7802870190680175
2000-06-26,0.7781953519586156
2000-06-27,0.7761815824745606
2000-06-28,0.7740128116843219
2000-06-29,0.771752084434897
2000-06-30,0.7695653660568947
2000-07-03,0.767469930007215
2000-07-04,0.7652634665851193
2000-07-05,0.7629946568795184
2000-07-06,0.7606673272959433
2000-07-07,0.7585172468134823
2000-07-10,0.7561423515552124
2000-07-11,0.7538317090175441
2000-07-12,0.7516160273743181
2000-07-13,0.7494783230495522
2000-07-14,0.7474773173573733
2000-07-17,0.7455417930030797
2000-07-18,0.7436005035640467
2000-07-19,0.7416422769337653
2000-07-20,0.7395919793689668
2000-07-21,0.7374875211010649
2000-07-24,0.7353820298674246
2000-07-25,0.7334848526757957
2000-07-26,0.7315749691119705
2000-07-27,0.7296645142713383
2000-07-28,0.7277516817809858
2000-07-31,0.725960915291335
2000-08-01,0.7241881642284729
2000-08-02,0.7224314209887456
2000-08-03,0.720697631837816
2000-08-04,0.7189167196711551
2000-08-07,0.7171685628594411
2000-08-08,0.715411140011675
2000-08-09,0.7135801553170701
2000-08-10,0.7117310235563754
2000-08-11,0.7098267817550751
2000-08-14,0.7079278030252524
2000-08-15,0.7058902108343905
2000-08-16,0.7039383939914278
2000-08-17,0.7019660953508745
2000-08-18,0.7000354796275314
2000-08-21,0.6982108575656195
2000-08-22,0.696530596678004
2000-08-23,0.6946325669786834
2000-08-24,0.6927492629880356
2000-08-25,0.6908085357300554
2000-08-29,0.6889507109308349
2000-08-30,0.6870003046607961
2000-08-31,0.6851001635732574
2000-09-01,0.6831745538502929
2000-09-04,0.6811940598689092
2000-09-05,0.679227703037588
2000-09-06,0.6773630271917241
2000-09-07,0.6754406221591611
2000-09-08,0.6734014609346252
2000-09-11,0.6713769734782158
2000-09-12,0.669449675170743
2000-09-13,0.6675214970940468
2000-09-14,0.6655203890421141
