Date,ACF
2000-01-05,1.0
2000-01-06,0.9985205296929228
2000-01-07,0.9970480487076683
2000-01-10,0.9956076828194151
2000-01-11,0.9941657252188508
2000-01-12,0.9927353224700147
2000-01-13,0.9914026123130247
2000-01-14,0.9900437538226486
2000-01-17,0.9886759110172404
2000-01-18,0.9873007699482272
2000-01-19,0.9859434915896841
2000-01-20,0.9846384177005096
2000-01-21,0.9833372819145181
2000-01-24,0.9820488839375705
2000-01-25,0.9808247793479464
2000-01-26,0.9795869511328316
2000-01-27,0.9783431959212912
2000-01-28,0.9771121281575762
2000-01-31,0.9758924044270639
2000-02-01,0.97468914781705
2000-02-02,0.973536264087916
2000-02-03,0.9723226109795297
2000-02-04,0.9710947322556999
2000-02-07,0.9698358155615546
2000-02-08,0.9685989895027294
2000-02-09,0.9673546464612645
2000-02-10,0.9661000785185533
2000-02-11,0.9648254926030702
2000-02-14,0.9635519200953004
2000-02-15,0.962303734707266
2000-02-16,0.9610849605111003
2000-02-17,0.9598310220950462
2000-02-18,0.9586071704207911
2000-02-21,0.957375994642563
2000-02-22,0.9561748786033603
2000-02-23,0.9550002851219009
2000-02-24,0.9538942008636654
2000-02-25,0.9527561333561309
2000-02-28,0.9516342474564885
2000-02-29,0.9505077429639215
2000-03-01,0.9494017918598765
2000-03-02,0.9482023204563362
2000-03-03,0.9470501856305616
2000-03-06,0.9458689791607501
2000-03-07,0.9446942558169696
2000-03-08,0.9435727163424091
2000-03-09,0.9424765267626518
2000-03-10,0.9413457565909511
2000-03-13,0.940211970583581
2000-03-14,0.9390946848621612
2000-03-15,0.9380001098024461
2000-03-16,0.9369489622586527
2000-03-17,0.9359725110635677
2000-03-20,0.9350103053031082
2000-03-21,0.9340414183757905
2000-03-22,0.9330071872754783
2000-03-23,0.9320435361698648
2000-03-24,0.9310036286744916
2000-03-27,0.9299095639514243
2000-03-28,0.9288076790642751
2000-03-29,0.9277164339568273
2000-03-30,0.9266081884584626
2000-03-31,0.9254949284799617
2000-04-03,0.9244339303558432
2000-04-04,0.9234025967006727
2000-04-05,0.9223587887006778
2000-04-06,0.9212583017961838
2000-04-07,0.920182545400685
2000-04-10,0.9191135785770569
2000-04-11,0.918052049325233
2000-04-12,0.9169384041818874
2000-04-13,0.9158906400008554
2000-04-14,0.9149071456879102
2000-04-17,0.9139196529167647
2000-04-18,0.9129380179191905
2000-04-19,0.9119777027428518
2000-04-20,0.9110170901390405
2000-04-25,0.9099588101316559
2000-04-26,0.9089133773402714
2000-04-27,0.907824416793798
2000-04-28,0.9067151723928648
2000-05-02,0.9055581329669591
2000-05-03,0.9044118582835675
2000-05-04,0.9032433498549672
2000-05-05,0.9020906219637528
2000-05-08,0.9009449952343537
2000-05-09,0.8997603953291196
2000-05-10,0.8985173281312484
2000-05-11,0.8972935771797048
2000-05-12,0.8960839002314975
2000-05-15,0.8949734039106441
2000-05-16,0.8938318852068157
2000-05-17,0.892705027319803
2000-05-18,0.8916406734464477
2000-05-19,0.8905216057013334
2000-05-22,0.8893358136269375
2000-05-23,0.888191145291586
2000-05-24,0.8870103756113117
2000-05-25,0.8857839825900388
2000-05-26,0.8845896654493673
2000-05-29,0.8833475337367983
2000-05-30,0.8821002967576959
2000-05-31,0.8807909668083315
2000-06-01,0.8794606715011589
2000-06-02,0.8781200610801406
2000-06-05,0.8768339443944356
2000-06-06,0.8756165556619273
2000-06-07,0.8743779363010045
2000-06-08,0.8731313717250657
2000-06-09,0.8718830262027418
2000-06-12,0.8706373270488872
2000-06-13,0.8693526310725119
2000-06-14,0.8681333692267165
2000-06-15,0.8668916446932262
2000-06-16,0.8656161443093391
2000-06-19,0.8643664706925206
2000-06-20,0.8631794764119194
2000-06-21,0.8620367655495319
2000-06-22,0.8608584973812434
2000-06-23,0.8596769432275545
2000-06-26,0.8584931663677791
2000-06-27,0.8573455626725527
2000-06-28,0.8561582764070428
2000-06-29,0.8549549079933023
2000-06-30,0.85386468132024
2000-07-03,0.8528358969767641
2000-07-04,0.8518071047157681
2000-07-05,0.8507713661471628
2000-07-06,0.8497083960866635
2000-07-07,0.8486158124778248
2000-07-10,0.8475532039828518
2000-07-11,0.8464955908313231
2000-07-12,0.8455246333631008
2000-07-13,0.8446174662454558
2000-07-14,0.8436297023294744
2000-07-17,0.8424840761683987
2000-07-18,0.8414002738264478
2000-07-19,0.8402886564484736
2000-07-20,0.8391882991862122
2000-07-21,0.8382012418126287
2000-07-24,0.8372137493256412
2000-07-25,0.8362419755427456
2000-07-26,0.8352848667408884
2000-07-27,0.8343294406067635
2000-07-28,0.8334095647300149
2000-07-31,0.8325195340204492
2000-08-01,0.8316248692278548
2000-08-02,0.830722292544118
2000-08-03,0.8298270400860528
2000-08-04,0.8289564351391738
2000-08-07,0.8280259346676966
2000-08-08,0.8270788417043157
2000-08-09,0.8260775778076873
2000-08-10,0.8250942957950191
2000-08-11,0.8241518687839218
2000-08-14,0.8231877873507472
2000-08-15,0.8221745180169037
2000-08-16,0.8212268148010149
2000-08-17,0.8203026754130432
2000-08-18,0.8193267413310151
2000-08-21,0.8183958870548158
2000-08-22,0.8174402538545542
2000-08-23,0.8164467224117441
2000-08-24,0.8154336571904577
2000-08-25,0.8144339463224854
2000-08-28,0.8134107558161375
2000-08-29,0.812362943141635
2000-08-30,0.8113715363100172
2000-08-31,0.810413815979336
2000-09-01,0.8094792515818736
2000-09-04,0.808561537520414
2000-09-05,0.8076328856465019
2000-09-06,0.8066413082800473
2000-09-07,0.8056683256747564
2000-09-08,0.8046048683286249
