Date,ACF
2000-01-05,1.0
2000-01-06,0.998494833724813
2000-01-07,0.9970033602188405
2000-01-10,0.9955440745594942
2000-01-11,0.9940526433282109
2000-01-12,0.9925869445615609
2000-01-13,0.9911823381203492
2000-01-14,0.9898028341799253
2000-01-18,0.9883403328565973
2000-01-19,0.9869248457655656
2000-01-20,0.9855435522783926
2000-01-21,0.9841222135791816
2000-01-24,0.9826454219713957
2000-01-25,0.9810933585780204
2000-01-26,0.9795165181146503
2000-01-27,0.978027748025739
2000-01-28,0.9765862381305507
2000-01-31,0.9751292778040092
2000-02-01,0.973671037578184
2000-02-02,0.9723122321342937
2000-02-03,0.9709310955469272
2000-02-04,0.9694741796273735
2000-02-07,0.9680434529304225
2000-02-08,0.9665617993297277
2000-02-09,0.9650341126196381
2000-02-10,0.9634390117573958
2000-02-11,0.9618799220807364
2000-02-14,0.9602790425604302
2000-02-15,0.9586502131440933
2000-02-16,0.957095719029777
2000-02-17,0.9555750957259697
2000-02-18,0.9540129626177183
2000-02-22,0.9525182640905253
2000-02-23,0.951084366559596
2000-02-24,0.9496574638521482
2000-02-25,0.9482621763552861
2000-02-28,0.9467957854715681
2000-02-29,0.9453140096947927
2000-03-01,0.9438769794968682
2000-03-02,0.9425043311571631
2000-03-03,0.9410789762376963
2000-03-06,0.9396194047861222
2000-03-07,0.9382001247864644
2000-03-08,0.936810142450433
2000-03-09,0.9353962803782928
2000-03-10,0.9339944543795988
2000-03-13,0.9326313233245518
2000-03-14,0.9312621276308563
2000-03-15,0.9298570264594537
2000-03-16,0.9285457714123991
2000-03-17,0.9272699312206311
2000-03-20,0.9259644472692881
2000-03-21,0.9246513333800914
2000-03-22,0.9233850236370462
2000-03-23,0.9220777581062335
2000-03-24,0.9207433443766214
2000-03-27,0.9193683488837662
2000-03-28,0.9180046495750155
2000-03-29,0.9166042429381617
2000-03-30,0.9152459000289813
2000-03-31,0.9139140877321431
2000-04-03,0.9125315292491875
2000-04-04,0.9112869536442637
2000-04-05,0.9100557687787163
2000-04-06,0.908816554116297
2000-04-07,0.9076399172958757
2000-04-10,0.9064204953809945
2000-04-11,0.9052514198765894
2000-04-12,0.9041083382387227
2000-04-13,0.903026142919679
2000-04-14,0.9018952581838322
2000-04-17,0.9008355877807762
2000-04-18,0.8997729545783303
2000-04-19,0.8986650590811662
2000-04-20,0.8975371909479896
2000-04-24,0.8964515679726851
2000-04-25,0.8954368835705141
2000-04-26,0.8943455291999253
2000-04-27,0.893176813801567
2000-04-28,0.8920349646380203
2000-05-01,0.8908263687727973
2000-05-02,0.8895632510044197
2000-05-03,0.8883100622660445
2000-05-04,0.8870546160150992
2000-05-05,0.8857984590464293
2000-05-08,0.8845594550819826
2000-05-09,0.8833703498054857
2000-05-10,0.8821746453529739
2000-05-11,0.881013132491078
2000-05-12,0.8799048753808533
2000-05-15,0.8787731010529678
2000-05-16,0.8776005551744737
2000-05-17,0.8764757339929933
2000-05-18,0.8753517870219413
2000-05-19,0.8742500264753329
2000-05-22,0.8731491136064468
2000-05-23,0.8720475479702189
2000-05-24,0.8709329627139498
2000-05-25,0.8698026633101109
2000-05-26,0.8686494219362803
2000-05-30,0.8674951580985372
2000-05-31,0.8662827773888164
2000-06-01,0.8650962067896937
2000-06-02,0.8638317561292995
2000-06-05,0.8625395932838913
2000-06-06,0.8613153388777682
2000-06-07,0.8600679437289418
2000-06-08,0.8587109095693816
2000-06-09,0.8573904585292437
2000-06-12,0.856075755805903
2000-06-13,0.8547874426797697
2000-06-14,0.8534750405920717
2000-06-15,0.8521514861403753
2000-06-16,0.8508137245234948
2000-06-19,0.8494324406258688
2000-06-20,0.8480267288860224
2000-06-21,0.8467039598955857
2000-06-22,0.8453551442378366
2000-06-23,0.8440606444256771
2000-06-26,0.8427284193304747
2000-06-27,0.84143062205957
2000-06-28,0.8400987537630317
2000-06-29,0.8387549647814967
2000-06-30,0.8374372836034862
2000-07-03,0.8361444002700766
2000-07-05,0.8348050220848646
2000-07-06,0.8334704621625382
2000-07-07,0.8321184255857148
2000-07-10,0.8307994878573746
2000-07-11,0.8294813332037656
2000-07-12,0.8281856568057246
2000-07-13,0.8268879962002543
2000-07-14,0.82556520779951
2000-07-17,0.8241587788893688
2000-07-18,0.8227959015021977
2000-07-19,0.8214354449218298
2000-07-20,0.8200808100296864
2000-07-21,0.8186749612768572
2000-07-24,0.8172352295982119
2000-07-25,0.8158800252988118
2000-07-26,0.8145807074393886
2000-07-27,0.8133014712141163
2000-07-28,0.811987843249321
2000-07-31,0.810733238187534
2000-08-01,0.8094844768617786
2000-08-02,0.808271722536775
2000-08-03,0.8070102121568318
2000-08-04,0.8057057053530987
2000-08-07,0.8043462844591438
2000-08-08,0.8029533668261284
2000-08-09,0.80159261139996
2000-08-10,0.8002703435214803
2000-08-11,0.7990374876566602
2000-08-14,0.7978242665228046
2000-08-15,0.7965925011683846
2000-08-16,0.795380936653559
2000-08-17,0.794163166884223
2000-08-18,0.7928788263896069
2000-08-21,0.7915586753986985
2000-08-22,0.7902210371952714
2000-08-23,0.7888491566957382
2000-08-24,0.7874917774843985
2000-08-25,0.7860821299776544
2000-08-28,0.7847162988902757
2000-08-29,0.783336396835265
2000-08-30,0.7820297459649903
2000-08-31,0.7807300219454508
2000-09-01,0.7794713970361036
2000-09-05,0.7781880463332895
2000-09-06,0.7768612552741461
2000-09-07,0.7755756221526687
2000-09-08,0.7743597064400062
2000-09-11,0.7731126895123807
2000-09-12,0.7717952264322571
2000-09-13,0.7704792003189128
2000-09-14,0.7691936557162814
