,Min,Max,length,Mean,Var,Kurtosis,Skewness,ACF(1/e),ACF(0),PACF
BVSP,4205,0.1,0.9,0.5045067446237014,0.056660295757477205,-1.3738374820332973,-0.2771143162024587,825,1234,2
IXIC,4275,0.1,0.9,0.4103857540006564,0.041431197649261085,-0.47657577080029734,0.8388418091163864,525,1092,2
DJI,4275,0.1,0.9,0.43771548747596917,0.030752495877774035,-0.4552633413535556,0.754144987504703,574,1014,2
FCHI,4340,0.1,0.9,0.43301252726187694,0.0260704684556725,-0.2844270722700739,0.5662020104049637,262,416,2
FTSE,4294,0.1,0.9,0.5848947939382729,0.032888904619445124,-0.7634759369566235,-0.47628298900751886,345,582,2
GDAXI,4317,0.1,0.9,0.4443742897641917,0.029884069378239647,-0.4710267681170355,0.4360109337213285,528,1035,2
