,0
0,3.1613234920427447
1,2.993221467757406
2,2.8766511276597853
3,2.786805047593906
4,2.7150418190652523
5,2.6571393163910026
6,2.6086928271038454
7,2.565320110651956
8,2.528997133339574
9,2.495109401132056
10,2.463615375987128
11,2.433533225096706
12,2.408207864114109
13,2.382655840973392
14,2.3584725583656003
15,2.3353768234526275
16,2.31440935112941
17,2.294195035356406
18,2.2753521062878534
19,2.2581586749588625
20,2.241082213862849
21,2.226029653021813
22,2.2117309973141066
23,2.1976140043887233
24,2.183699988308429
25,2.1704928340697602
26,2.15816849199365
27,2.145850827732573
28,2.1337290177703028
29,2.1226264551778025
30,2.1109935923598084
31,2.1002707641446605
32,2.0899686149126513
33,2.080332549057394
34,2.0710564771647078
35,2.061453401579734
36,2.0519746610094924
37,2.0432836642033414
38,2.034496628363418
39,2.026247693136656
40,2.0184864201050905
41,2.010862332175014
42,2.003245829557092
43,1.995366044857777
44,1.9877115340404914
45,1.9802345569173407
46,1.9732589410424706
47,1.9665646846747409
48,1.959901409408936
49,1.9540220167658726
50,1.948309029186254
51,1.9427697079894424
52,1.9372722172914134
53,1.9320543960688192
54,1.926273988512795
55,1.920812036514722
56,1.9156570378344966
57,1.9103595377083376
58,1.9049445881717457
59,1.9000960499214514
60,1.8955845074801438
61,1.8911114946917085
62,1.886831025356437
63,1.8827702892527114
64,1.8786182187280887
65,1.8742990615410462
66,1.8700340899442174
67,1.8657065105357706
68,1.8612558258524974
69,1.8569685029797363
70,1.8529017615870946
71,1.8488090880164205
72,1.8449831120162943
73,1.8410989973219707
74,1.837312576357894
75,1.8333309050554147
76,1.8295960215487248
77,1.82617514141336
78,1.82262652733744
79,1.8194952282549892
80,1.8159988738965727
81,1.812321795941161
82,1.808949261601114
83,1.8054928084546304
84,1.802121717539385
85,1.7988925643297604
86,1.7957217596043287
87,1.7922868365763889
88,1.7889704137132016
89,1.7856861444708727
90,1.782547647149511
91,1.7793708730660298
92,1.7762554885641604
93,1.7731636253719993
94,1.7702343541693417
95,1.7670835874534216
96,1.7641484592704308
97,1.761284176134268
98,1.7584535732372313
99,1.755826602244396
100,1.7533184149576229
101,1.7507033084193016
102,1.7480986252186566
103,1.7455046618138925
104,1.7429710621597272
105,1.7405015963322112
106,1.737923074875131
107,1.7353111493468627
108,1.7327581736655384
109,1.729983960831787
110,1.727405875393253
111,1.724827302362242
112,1.7223500795168654
113,1.7200134995405107
114,1.717830107632976
115,1.7156034913928149
116,1.7133917775393668
117,1.711214583415713
118,1.7090632714265253
119,1.7069805579335153
120,1.7048120093673218
121,1.7026511220980423
122,1.70040853219965
123,1.6982711622851983
124,1.6960713521193032
125,1.6938912581255356
126,1.6919413097803455
127,1.6899832653221787
128,1.6880322653873734
129,1.6860523972471662
130,1.6841297497253755
131,1.6822488146980783
132,1.6804775555735012
133,1.6787063244754028
134,1.6769395928222524
135,1.6752754200265458
136,1.6736589514834106
137,1.672278861960047
138,1.670938035331895
