,0
0,2.751675234623652
1,2.5776859146505755
2,2.4550622865877174
3,2.3631025111156654
4,2.2916716783928175
5,2.232874612607708
6,2.184141473689975
7,2.1418821035710733
8,2.1030394014598324
9,2.0687266212933437
10,2.0401700588480085
11,2.011938708332631
12,1.9853383334182633
13,1.960163648374802
14,1.936784530125139
15,1.9147444519359915
16,1.8949429480186648
17,1.8754758368547348
18,1.8566163000841527
19,1.8390672764907752
20,1.8221104482045416
21,1.8054037230844266
22,1.7900167055535279
23,1.7747758517017183
24,1.7604726642798016
25,1.7462405601471418
26,1.7332417858640081
27,1.7203770232710998
28,1.7086176224833491
29,1.6970229448121883
30,1.6857145751981824
31,1.6747237962157158
32,1.66441464336046
33,1.654674196504819
34,1.6451262952034604
35,1.6354565357399562
36,1.6264470104252398
37,1.6173682695875125
38,1.60896230145265
39,1.6006161505994576
40,1.592621886311191
41,1.5849460582020802
42,1.5773802092081965
43,1.5701814458406955
44,1.5628794666622576
45,1.5562007934801332
46,1.549104303028421
47,1.5422671503596301
48,1.5358563937822343
49,1.529391027681411
50,1.5229364553139382
51,1.5171353818529296
52,1.511646308658014
53,1.5068508844000579
54,1.5019574047879818
55,1.4971067249958812
56,1.492337571116788
57,1.4878036473768048
58,1.483001990233392
59,1.4784755434075108
60,1.4738068584678246
61,1.4695069530174165
62,1.4653994396448569
63,1.4613003120058372
64,1.4566952698147155
65,1.4521207743577966
66,1.4477808241781138
67,1.4434275606155869
68,1.4392594838658106
69,1.4347435055876576
70,1.430740488270188
71,1.426694779810826
72,1.422636389882168
73,1.4188329754640896
74,1.4150564246981188
75,1.411174401728852
76,1.4075959379865923
77,1.4039690577096244
78,1.4005947597510209
79,1.3970739652145396
80,1.3933872258639521
81,1.3897387123436213
82,1.3860141661594727
83,1.3824563768312774
84,1.3789666833848055
85,1.3754319826077301
86,1.3721656899459116
87,1.3687779878501416
88,1.36542824430928
89,1.3620282476308252
90,1.3583726681788093
91,1.354941967659987
92,1.35147389297426
93,1.348027233667046
94,1.344906276796492
95,1.341724990615754
96,1.3386628930371995
97,1.335695667634454
98,1.33271935307669
99,1.3298754739874596
100,1.3269497042577942
101,1.3238645562110742
102,1.320587468127968
103,1.3174653764599855
104,1.3143577258297376
105,1.3112294466781929
106,1.3081979796523777
107,1.3051188494023591
108,1.302031992594974
109,1.298946540026269
110,1.2959310379687763
111,1.2928367143233044
112,1.289696948797516
113,1.2867553284584898
114,1.283882912603754
115,1.2810038653051505
116,1.2782030371862931
117,1.2753397352376228
118,1.2726379901987372
119,1.2700285213132194
120,1.2673911492508645
121,1.2647647585749395
122,1.2623029546947917
123,1.2596439385858864
124,1.2570048414772603
125,1.2544833802654896
126,1.252024776204602
127,1.249591588466689
128,1.2470731806478363
129,1.2445856992699933
130,1.2420290267453549
131,1.2395664619220337
132,1.236999188897818
133,1.23451783464555
134,1.2321456387893546
135,1.2298995074824892
136,1.2277947025510385
137,1.2257759502995647
138,1.2235984317329793
139,1.2214245832633932
140,1.219241128515875
141,1.217172042358447
142,1.214964962329481
143,1.2128387810198855
144,1.2108254296152832
145,1.2088482430111478
146,1.206811860269135
147,1.2049319647171273
148,1.2029897445858964
149,1.2009312318512608
150,1.1988491456881971
151,1.196843227104974
152,1.1947183017152039
153,1.1927946674932288
154,1.1909055423087098
155,1.1888434589105503
156,1.186865918384168
157,1.184909933289308
158,1.183006107541911
159,1.1810849168802977
160,1.1790739038005837
161,1.17714200291406
162,1.175210175452867
163,1.173370195406679
164,1.1714469346939598
165,1.169524396142122
166,1.1676326658070446
167,1.1657652262644878
168,1.1639926991594658
169,1.1622055840489887
170,1.160434703970713
171,1.1587184336442502
172,1.1569914085529927
173,1.1552723585576765
174,1.1535125256209573
175,1.1516991792103335
176,1.150057084895369
177,1.1483797419343555
178,1.1467389216334973
179,1.1451505260705375
180,1.1435138046418432
