,0
0,3.1028500348846477
1,2.943274257003222
2,2.826205963384289
3,2.741345406246936
4,2.669212756610013
5,2.6114257175548468
6,2.5623821774564557
7,2.519867062442419
8,2.4835624293919523
9,2.447541639623892
10,2.4131241865716
11,2.385728799762856
12,2.358871798702366
13,2.3348913727383382
14,2.3125874960269015
15,2.2915250006881984
16,2.271017693583906
17,2.252400154840739
18,2.2333938597914567
19,2.2165990138573077
20,2.200117652711898
21,2.1838452945626594
22,2.16815128963254
23,2.1533253437678135
24,2.138970706928482
25,2.1256604733234523
26,2.1127182589341706
27,2.1000203608481183
28,2.0879388344097576
29,2.075750927629474
30,2.0641363030278344
31,2.052956854212527
32,2.0417283998813573
33,2.0307978244484497
34,2.0205100807640317
35,2.009939710170221
36,2.0003144975196716
37,1.9906865669431812
38,1.9818006474424255
39,1.9733048991836803
40,1.9645810993521098
41,1.9561284351154289
42,1.9483802358720579
43,1.9409389381017015
44,1.9333855373752145
45,1.926313520508136
46,1.919478222005475
47,1.9122359676251994
48,1.9056506316736255
49,1.899388594484646
50,1.8932285875845787
51,1.887138814502237
52,1.8811839581836827
53,1.8750719135450413
54,1.8691893819782708
55,1.863686237229553
56,1.8582021689019355
57,1.8529928279828587
58,1.8480299522418013
59,1.8434839021539928
60,1.8385949126015837
61,1.833679473369179
62,1.8291782861845796
63,1.8246734153202213
64,1.8199405595314204
65,1.8154127341257928
66,1.811041304423317
67,1.8069366564312408
68,1.8027492626813406
69,1.7985150833116075
70,1.79413064535746
71,1.7900819098585588
72,1.785941056607778
73,1.7819543687831827
74,1.7783739215481005
75,1.7748008894241412
76,1.7714237829147588
77,1.7683420819541913
78,1.7651345744288915
79,1.762076251982645
80,1.7590913771557473
81,1.7558599234934
82,1.7528252309825119
83,1.7495479203110675
84,1.7463767287217886
85,1.7431703211454
86,1.74033153109356
87,1.737731159164715
88,1.735065738396223
89,1.7323320362700387
90,1.7295134479300178
91,1.7266285028770867
92,1.723857777124836
93,1.7208355921639409
94,1.7181643780173008
95,1.7152908762635126
96,1.7125293975501346
97,1.7098447301049644
98,1.7074032196503812
99,1.705020985899458
100,1.7024183163406132
101,1.699906974279225
102,1.69720180249232
103,1.6945778497656279
104,1.6920373004799432
105,1.6897686414840465
106,1.6873509781956644
107,1.6848623559506806
108,1.6823317188242395
109,1.679781267313684
110,1.677370452025723
111,1.6749784870985667
112,1.6726851541656345
113,1.6704726764051516
114,1.6683100966883233
115,1.6659478884685008
116,1.6635647471910473
117,1.6612052524719396
118,1.659102223223356
119,1.6569638201223276
120,1.654816090986415
121,1.6527432510101796
122,1.6507070797066163
123,1.6487959056443868
124,1.6466997041227807
125,1.6445771199667674
126,1.6426239889944272
127,1.6407475455935563
128,1.638842796679669
129,1.6369854168367217
130,1.6350126792935171
131,1.6329784968478371
132,1.630776905333888
133,1.6286599145604341
134,1.6264794978080697
135,1.6243564449604386
136,1.622181551335198
137,1.6202070415518832
138,1.6185084689094362
139,1.6167041542742124
140,1.6149890676388474
141,1.6133553252399175
142,1.611534906112908
143,1.6096831464181218
144,1.6079818234121324
145,1.6062035936207995
146,1.604591205814216
147,1.6028988406622442
148,1.6013929638582778
149,1.599713444373322
150,1.5980260618729645
151,1.596476585899928
152,1.5948229110197991
153,1.5932175361850711
154,1.5917685449010488
155,1.5904446637851062
156,1.5890237828794616
157,1.587587633037793
158,1.5861908896027623
159,1.584812281390883
160,1.5834534313074535
161,1.5822338603707429
162,1.580946159220205
163,1.5797436804227973
164,1.5784111645579455
165,1.5772631783180033
166,1.5760074155382569
167,1.5748240160038751
168,1.5736330265918927
169,1.5724930344824473
170,1.571405624121561
171,1.570326623017559
172,1.5692335592321511
173,1.5682982515397377
174,1.567271351809097
175,1.5662796611071206
176,1.5653359133948535
177,1.5643341215483848
178,1.56333271739688
179,1.5622803933585265
180,1.5612985382241589
181,1.5602576483617872
182,1.5592478419225153
183,1.558258293884892
184,1.557274637473516
185,1.5564286445041706
186,1.5555944979413738
187,1.5548283477566194
188,1.55397382095886
189,1.553187548741263
190,1.552375167470275
191,1.5515729072514308
192,1.5508838734262929
193,1.5504223761504046
194,1.5498323061224253
195,1.5492952631919783
196,1.5485793931258647
197,1.5477696716927198
198,1.5470300544402271
199,1.5462835383185591
200,1.5455213064150075
201,1.5447782186921761
202,1.5441022347615274
203,1.5433865318783766
204,1.5426040236029857
205,1.5418942024531885
206,1.5412047460560352
207,1.5404559998174343
208,1.5397283676521516
209,1.5389653517926598
210,1.5382544818521784
211,1.537588919290787
212,1.5368875013416343
213,1.5361702487681388
214,1.5354336270801112
215,1.534770532538129
216,1.5342143383070863
217,1.5335724385198728
218,1.5329507136799492
219,1.5324114450585258
220,1.531863549441688
221,1.531237870462793
222,1.5307051845053803
223,1.530038706261291
224,1.529473853324588
225,1.5289933246831011
226,1.5284473140570374
227,1.5279225415592974
228,1.5274132483781688
229,1.5269455072897973
230,1.526526645353431
231,1.5261857554665132
232,1.5258478530296709
233,1.5256257776062716
234,1.5253490308775846
235,1.525070200106157
236,1.5248239787842846
237,1.5244870589882462
238,1.524149640403594
239,1.5237955073408074
240,1.5234094711453499
241,1.5229619468744284
242,1.5225895979643047
243,1.5221720021475982
244,1.5218428050150536
245,1.5215216849695075
246,1.521159416832718
247,1.5208001257532449
248,1.5204478071518241
249,1.5200472988628824
250,1.5195807443049743
251,1.5191453103306836
252,1.5186671333712436
253,1.5182685865733818
254,1.51785759675284
255,1.5175062830924384
256,1.517084576800909
257,1.516634958536295
258,1.5161201058285307
259,1.5156395548894943
260,1.515140759407922
261,1.5146605401606998
262,1.514142447886754
263,1.5136231773970812
264,1.513143001706389
265,1.5126567743874755
266,1.512255191414939
267,1.5117763867260698
268,1.5113534916893123
269,1.5108575105176498
270,1.5104216780651218
271,1.5099345362795977
272,1.5094632619539017
273,1.5090616335452536
274,1.5086877783211443
275,1.5082858836840753
276,1.50791295995512
277,1.5075117265189362
278,1.5070276094674715
279,1.5065762128540887
280,1.5061427734896875
281,1.5057295629624166
282,1.5052623862810193
283,1.504832654325827
284,1.5043894557939919
285,1.5039960465558968
286,1.5036000597778125
287,1.5031714615215739
288,1.5028143013376067
289,1.5024769774712856
290,1.5021541571653698
291,1.5017941219515238
292,1.5014762486440625
293,1.501177860511149
294,1.500841212603371
295,1.5005397641799054
296,1.5003062191179062
297,1.4999748155838848
298,1.4996359652272073
299,1.4993362640653463
300,1.4990236911075
301,1.498682287982974
302,1.4983149142741063
303,1.498043639128582
304,1.49771995801913
305,1.4973280736525594
306,1.496953221928067
307,1.4965809101482175
308,1.4961276617084478
309,1.4957291303509885
310,1.4953376183165858
311,1.4949375136033898
312,1.4946061068266874
313,1.494266376361254
314,1.493994598622923
