,PACF
0,1.0
1,0.9985205296929225
2,0.0016235686278971645
3,0.010129889433812128
4,-0.00120879436828799
5,0.0033006459970660743
6,0.03233419491025246
7,-0.009277865763749912
8,-0.0030518048467306773
9,-0.0033674662875269093
10,0.005553704539440563
11,0.01799034000769715
12,0.0002932003089546716
13,0.00392646124291124
14,0.02108801416983873
15,-0.004470014905861453
16,-0.0010643025816358053
17,0.0033339677370394435
18,0.003537290677858709
19,0.006359643437966084
20,0.01609865248221286
21,-0.0207392760487467
22,-0.004808328805869628
23,-0.010904377836165715
24,0.0079283816394668
25,-0.0026330119727774252
26,-0.005484931194430981
27,-0.007021909122474984
28,-0.0008830396580295233
29,0.00905890927656911
30,0.009739727005298604
31,-0.0131669852869579
32,0.009378759972821503
33,-0.002889246297996965
34,0.009730776080242047
35,0.008601052260229237
36,0.021609162499009155
37,-0.01019873470879748
38,0.00510575681195266
39,-0.0014668024187073304
40,0.006376777824249261
41,-0.031086244272675565
42,0.015120372200367
43,-0.009851627200020235
44,0.0013633501231308446
45,0.018516565993497845
46,0.006758667202090257
47,-0.00974464060699914
48,-0.0008941148148612933
49,0.006001114649400316
50,0.006962181501896149
51,0.014511928631755103
52,0.024597443865153185
53,0.005446453018127769
54,-0.002980081155243752
55,-0.020257913951161968
56,0.022691500269008645
57,-0.025357000754653542
58,-0.018162388390350576
59,-0.003942860800540304
60,-0.00046913134825534304
61,-0.001938511031201319
62,-0.0037663585264207746
63,0.018745122123740597
64,0.010294967012558618
65,-0.0033511041652285814
66,-0.020579107044826114
67,0.007662743185084706
68,0.001979885934470875
69,0.004513191771432576
70,-0.020455325996565132
71,0.020878604995412293
72,0.01955941897152801
73,0.00031751939072852006
74,0.0006379388776622137
75,0.006316398529070389
76,-0.0019505864564302571
77,-0.03030440207631482
78,0.0020129385503772305
79,-0.014114955661987968
80,-0.006068051212610286
81,-0.014948879411963371
82,0.0006103135221480371
83,-0.007134179106163001
84,0.005242326137676508
85,0.0023931435422411065
86,-0.014886653361276737
87,-0.018689809550298347
88,0.004674305410655476
89,0.0024473512816325232
90,0.03264157928287908
91,-0.011979440897168065
92,0.00030007196081155283
93,0.019713324576233628
94,-0.019366338905077406
95,-0.01957187123695493
96,0.008816772750482257
97,-0.010236176928889208
98,-0.01531661254006978
99,0.00759876708539968
100,-0.01638609326668158
101,-0.00012216469307044998
102,-0.022137642273610838
103,-0.0065137851349036935
104,-0.00516660590053462
105,0.014420446655847312
106,0.025534169364072736
107,-0.008450680454457193
108,-0.004442465075991122
109,-0.0007088789572116991
110,-0.0031285045192036283
111,-0.013550786104829285
112,0.018724247201826656
113,-0.009559230393383333
114,-0.013931778918033105
115,0.008845820148680808
116,0.020007554025427143
117,0.01708299949651873
118,-0.013783769904870418
119,0.0007307221377046117
120,-0.003559629615354882
121,0.010899873903567621
122,-0.010272386568031188
123,-0.004406307270749446
124,0.039622645974848734
125,0.02102967628725826
126,0.00048293672670845177
127,-0.0023042218726931495
128,-0.013961298401133892
129,-0.00993810661628471
130,0.006974899762043437
131,0.0007375977771866759
132,0.022764172001845457
133,0.02346606098125756
134,-0.02027014057999039
135,-0.05161771299985063
136,0.01575718092484156
137,-0.007471326142715223
138,0.0045264834829966535
139,0.033870760845925565
140,0.0018237921760183029
141,0.00811442416702409
142,0.005543745901925542
143,0.005136166678619163
144,0.01314054855773182
145,0.00713660943508809
146,-0.005646756899507939
147,-0.00762997350543361
148,0.0012955541299491894
149,0.010241313345006352
150,-0.021434352881721033
151,-0.003850431444493236
152,-0.019553094390450096
153,0.0028574080879158626
154,0.014557408274916514
155,-0.0053787784745149055
156,-0.012933849251513864
157,0.021075806813576115
158,0.010089317876598754
159,-0.01551430520417949
160,0.01833877595634286
161,-0.0086901087062063
162,-0.015109219729445834
163,-0.007569093361495093
164,0.0010480460857601747
165,-0.008198041989437252
166,-0.013367187190005451
167,0.02816210236515879
168,0.009031629839668506
169,0.002991572866221202
170,0.004101273848781744
171,-0.0037941274677537455
172,-0.02278523529981479
173,0.006552468200548653
174,-0.029650085758141258
175,0.017120682734091366
176,-0.002641359496450637
177,-0.021241743787189037
178,-0.01752294648026749
179,-0.020778465806741146
180,0.0021850443011272253
181,-0.00511541596638769
182,0.011607466832551296
183,0.005673000484230593
184,-0.014454990021869544
185,-0.007907565465607327
186,0.028281730279517935
187,-0.007325301726138903
188,0.01518115462645488
189,0.008205322374976544
190,-0.021182560398144326
191,0.00792680161870024
192,5.2478596016029846e-05
193,-0.0067508526670012085
194,-0.011346662387109884
195,-0.014617288254823429
196,-0.005332741780306436
197,0.004295547680499417
198,-0.023974937068290767
199,0.021253689511432496
200,0.010045876620662352
201,0.005677116884912562
202,-0.002210981638608367
203,0.017425276646419782
204,-0.00572168255254166
205,-0.008308197207142159
206,0.015763634359969216
207,0.011490540600151419
208,-0.01624302727831721
209,0.006903794493636735
210,-0.018094812389130684
211,0.0006822140942166366
212,0.005599207727996296
213,-0.017206008981692666
214,-0.0014292515749286406
215,0.008066237259852201
216,0.0033184377241040784
217,0.01762374138037983
218,0.012898101635679287
219,-0.003913770283153975
220,-0.005639815882357849
221,-6.643636386535893e-05
222,-0.005342985075780486
223,0.0037210419298274373
224,0.009621096127261624
225,0.01564634348378444
226,0.014228227576772558
227,0.004657409942328733
228,-0.019390561811148992
229,0.016262814889833093
230,0.0019179418511861169
231,-0.008037381441155629
232,-0.010406633441967504
233,-0.01054229954371199
234,-0.004049114201394137
235,-0.0248577161418753
236,0.008706974507964075
237,0.013036521741878852
238,-0.035072394525293024
239,0.003868439460433308
240,0.010471340780791214
241,0.00917017849264142
242,0.025973741709721443
243,0.0131210655361267
244,-0.026984696246369618
245,0.022020126649668393
246,-0.004889939833931567
247,-0.011701117839921506
248,-0.010996208457708915
249,-0.015915598726773145
250,0.017236239968028918
251,0.004395703355530488
252,-0.00706241390127562
253,-0.03340411166744468
254,-0.008259966194539557
255,-0.0041019661135118035
256,-0.041731339600858244
257,-0.0065086357977205385
258,0.02679098288903763
259,-0.0007401952015151281
260,0.018338267492753507
261,-0.007091262786767988
262,0.0050696920220248114
263,-0.01484881382036941
264,0.01845287779234723
265,0.0051140562935681165
266,0.010221409880265169
267,-0.024396985299216283
