,0
0,2.5906996530140134
1,2.232957049405319
2,2.0931239699499096
3,1.9510473097036765
4,1.8574722224622522
5,1.7911210456722664
6,1.734786643245342
7,1.6764943261745722
8,1.6164444808681613
9,1.598469961527179
10,1.5647055164920833
11,1.5406024710708404
12,1.4898390684856646
13,1.4724529173526144
14,1.4423332633468604
15,1.4408156453165377
16,1.392041096143041
17,1.4009056342760888
18,1.3861034350933923
19,1.3718655813602663
20,1.3460773166572495
21,1.3419084821273386
22,1.3344433400645026
23,1.2932690925819328
24,1.2694553883861879
25,1.2611223989646385
26,1.2672381414767466
27,1.2703408262677192
28,1.252706744777834
29,1.2225518675605818
30,1.2258465820721716
31,1.226841729909209
32,1.2480317225206479
33,1.231227841294487
34,1.232638358622233
35,1.211161300316582
36,1.1960215022367198
37,1.2099510057933411
38,1.187003455919812
39,1.1958209239690198
40,1.1725759285751955
41,1.172262380331369
42,1.1820891506518176
43,1.1494304923353837
44,1.1410581337276016
45,1.1101976592477625
46,1.1185010437118477
47,1.1229906298346526
48,1.1035258031174582
49,1.1032672372265528
50,1.1034184468416006
51,1.103954287955923
52,1.0991060410837532
53,1.1133218725772833
54,1.1281434500655863
55,1.0974497594986419
56,1.1083611142159642
57,1.091065368230609
58,1.100117640058584
59,1.0734257386614674
60,1.08226442262798
61,1.096553410493704
62,1.0643736068077025
63,1.0528057723950859
64,1.0270066857939755
65,1.026891367171908
66,1.0345739426511527
67,1.0424395869722147
68,1.0302662884683018
69,1.0283768732705205
70,1.0109762269720246
71,1.0146529971436182
72,1.0034495595874056
73,1.0037362633057985
74,0.9856530045871574
75,0.9642304859371125
76,0.9784022910657724
77,0.9734388728206076
78,0.9717958166099674
79,0.9875327921039689
80,0.9793765962727923
81,0.9904863771162846
82,0.9709055608535255
83,0.9559535180805758
84,0.9508948311295242
85,0.9418219128302798
86,0.9346440814518342
87,0.9413886613510218
88,0.9301396668577651
89,0.9356632322274763
90,0.9420718423706944
91,0.9470166641337112
92,0.9334010644768336
93,0.935947755492994
94,0.9238376832040656
95,0.9195667271903627
96,0.9029538994384314
97,0.9080402953767832
98,0.9252203995251422
99,0.9028932648821364
100,0.894828697964063
101,0.9070120055106923
102,0.9134084082367826
103,0.9145587539886879
104,0.8982312694598287
105,0.8933039741519542
106,0.8823403725496464
107,0.8719653655308122
108,0.8869462243434603
109,0.8720251769540903
110,0.8499698994598655
111,0.8510521604013963
112,0.8508531190768798
113,0.840550894122547
114,0.8809143388047502
