,0
0,3.1028500348846477
1,2.783698479121796
2,2.592069376146423
3,2.486763734834877
4,2.38068215806232
5,2.322490522279016
6,2.2681209368661106
7,2.2222612573441625
8,2.19312536498822
9,2.1233545317113496
10,2.0689496560486833
11,2.0843795448666653
12,2.0365877859764905
13,2.0231458352059803
14,2.000333222066782
15,1.97558757060765
16,1.9429007799152238
17,1.9359019962068986
18,1.891280548904366
19,1.8974969411084865
20,1.8704904298036995
21,1.8421257734286502
22,1.8228831811699124
23,1.8123285888791139
24,1.79445942278452
25,1.7929046331977085
26,1.7762206848128503
27,1.7571771125247104
28,1.7496560941356547
29,1.722301631001255
30,1.7156975649786395
31,1.7063939409379971
32,1.6824178612839393
33,1.6700888351624945
34,1.670726795493815
35,1.6399767393868534
36,1.6538068420998848
37,1.6344531356130494
38,1.6441357064137034
39,1.6419707170926237
40,1.615629106089282
41,1.6095692014115142
42,1.622955867650477
43,1.6209631339763755
44,1.6010359054097916
45,1.608072761489605
46,1.605054490883068
47,1.571850011752241
48,1.589554505998084
49,1.5925487722246525
50,1.5852282425812056
51,1.5765603873028171
52,1.571531429618863
53,1.5511335476970456
54,1.5515326773726654
55,1.5610132760500708
56,1.5510943425553516
57,1.5560603955954875
58,1.5601831592604745
59,1.575266946973298
60,1.5452555394570382
61,1.5338376801924847
62,1.5501046807394072
63,1.5408665508656347
64,1.5170377890481563
65,1.521104082760008
66,1.522526944059905
67,1.531925240962134
68,1.5180064876881332
69,1.50635670680002
70,1.487219988567134
71,1.5026216894365603
72,1.4877996225515657
73,1.490926157587725
74,1.513420826152005
75,1.5068234801272022
76,1.5147636882016893
77,1.5310511079904936
78,1.5149489874555209
79,1.5204687787292182
80,1.52030139100393
81,1.4941121768432808
82,1.503980445089658
83,1.4775311345812034
84,1.4799966352223732
85,1.4706256771523432
86,1.496195586635348
87,1.511498801355164
88,1.5005087107689183
89,1.4890325470396468
90,1.4758404973281278
91,1.4640985030603502
92,1.4689510079177865
93,1.4397723908007016
94,1.4670702482331515
95,1.442308209653595
96,1.4474274410658654
97,1.4494319879234352
98,1.468135195101238
99,1.4691798445580515
100,1.4421513604561271
101,1.4462614260790274
102,1.4212742802280007
103,1.4243107189163227
104,1.4278201747687191
105,1.4515594469148931
106,1.4310786696271567
107,1.4185797757374048
108,1.409022909168621
109,1.4017820526631257
110,1.4121807703500346
111,1.4094703801842523
112,1.415831865677232
113,1.4204626894705865
114,1.4217760089699243
115,1.3942939431888934
116,1.3871203590064516
117,1.3851443703363402
118,1.410944771890494
119,1.402493851099878
120,1.3970885946769176
121,1.4019296138856916
122,1.402294180671888
123,1.4137214959901696
124,1.3867707154436197
125,1.379254100465079
126,1.3965294864795852
127,1.402439233682979
128,1.395034935702101
129,1.3973834170964858
130,1.3785567986769292
131,1.3665005964637844
132,1.3401668254925778
133,1.3471001416910888
134,1.3343036529912182
135,1.3377443105302413
136,1.3263960183024905
137,1.3496992012377595
138,1.384105444251725
139,1.3659044199781314
140,1.3748769386877364
141,1.3829976469908192
142,1.3530353900775691
143,1.3448815100636646
144,1.362991310549635
145,1.348360273877565
146,1.3691825860530131
147,1.3541211633224006
148,1.3785231968712366
149,1.3494650411148847
150,1.344918686819348
151,1.362505713971402
152,1.3434643292402573
153,1.3475951864716413
154,1.3686238871616307
155,1.385243090814034
156,1.367366361598867
157,1.3621121078958125
158,1.3655054268679265
159,1.3656135757021102
160,1.366037417958728
161,1.3858829395603443
162,1.3723385728330855
163,1.38373963644531
164,1.3598785627222658
165,1.3878454487275613
166,1.3675507941003162
167,1.3771962937621351
168,1.373546805378842
169,1.3798343679861937
170,1.386545862770903
171,1.3858174342332021
172,1.3812265881420553
173,1.4064900207521576
174,1.38859079867765
175,1.3927337882611157
176,1.3992363160359034
